Item,name,Actual Name of Item on Website,Label1,Label2,Patch,Market Price,Value of Item,
1,Toothpaste,"Colgate Total Advanced Whitening Toothpaste with Fluoride, Multi Benefit Toothpaste with Sensitivity Relief and Cavity Protection - 5.1 ounce",daily necessity,health,1,6.27,LOW,
2,Dry-Erase Marker,"Black Chisel Tip Dry Erase Markers Low Odor, Perfect for School, Office, and Home (Variation Pack Sizes) - 3 Pack",office supplies,,1,2.99,LOW,
3,Hand Soap,Softsoap Aquarium Hand Soap,daily necessity,health,1,5.1,LOW,
4,Umbrella,"totes Auto Open Wooden Handle J Stick Umbrella, Black",daily necessities,,1,23,LOW,
5,Candle,"Jar Candle, 8oz Soy Wax Candle(1 Pack), 35 Hours Long Burning Pillar Candle, White Pillar Candle in 10oz Old-Fashioned Whiskey Glass",daily necessities,,1,11.98,LOW,
6,Notebook,"Five Star Spiral Notebook, 5 Subject, Wide Ruled Paper, 200 Sheets, 10-1/2"" x 8"", Gray (73200)",office supplies,,1,11,LOW,
7,Coffee Mug,Corikee 330ML 11.2OZ White Ceramics Mug for Coffee/Tea/Water/Latte,daily necessities ,,1,5.39,LOW,
8,Bookbag,JanSport SuperBreak One Backpack - Lightweight School Bookbag,office supplies,travel,1,32.17,MEDIUM,
9,Charging Box (Multi-Plug In),"iClever USB Wall Charger, 40W 8A 4-Port Charging Station with Foldable Plug, USB Power Adapter for iPhone 11 Pro Xs/XS Max/XR/X/8/7,iPad Pro/Air 2/Mini 4/3, Galaxy/Note/Edge, LG, Nexus, HTC, and More",electronic,,1,25.99,MEDIUM,
10,Speaker,"Bluetooth Speaker, MusiBaby M88 Bluetooth Speakers, Wireless Speaker, Speakers Bluetooth Wireless,Dual Pairing, Bluetooth 5.0,Loud Stereo Sound,Booming Bass,30H Playtime for Home& Outdoor Party, Black",electronic,,1,44.99,MEDIUM,
11,Wired Earphones,Apple EarPods with Lightning Connector - White,electronic,entertainment,1,17.67,MEDIUM,
12,Small Coffee Machine,"Black+Decker CM1160B 12-Cup Programmable Coffee Maker, Black/Stainless Steel",electronic,food,1,34.99,MEDIUM,
13,Head Thermometer,"LPOW Forehead Thermometer for Adults, The Non Contact Infrared Baby Thermometer for Fever, Body Thermometer and Surface Thermometer 2 in 1 Dual Mode Medical Thermometer",electronic,health,1,19.99,MEDIUM,
14,Frying Pan,"Ninja C60026 Foodi NeverStick Stainless 10.25-Inch Fry Pan, Polished Stainless-Steel Exterior, Nonstick, Durable & Oven Safe to 500°F, Silver",daily necessities,food,1,59.99,MEDIUM,
15,Blender,"NutriBullet ZNBF30400Z Blender 1200 Watts, 1200W, Dark Gray",electronic,food,1,81.69,HIGH,
16,Health Tracking Watch,"Fitbit Inspire 2 Health & Fitness Tracker with a Free 1-Year Fitbit Premium Trial, 24/7 Heart Rate, Black/Black, One Size (S & L Bands Included)",electronic,health,1,77,HIGH,
